nodeName	altName	nodeAttr.nodesPresent...
caiA_b0039_15	caiA_b0039_15	black
caiB_b0038_14	caiB_b0038_14	yellow
caiC_b0037_15	caiC_b0037_15	blue
caiD_b0036_14	caiD_b0036_14	black
caiE_b0035_15	caiE_b0035_15	blue
caiF_b0034_13	caiF_b0034_13	steelblue
caiT_b0040_15	caiT_b0040_15	red
can_b0126_14	can_b0126_14	turquoise
carA_b0032_15	carA_b0032_15	orange
carB_b0033_15	carB_b0033_15	orange
cbl_b1987_15	cbl_b1987_15	yellowgreen
cbpA_b1000_15	cbpA_b1000_15	royalblue
cbpM_b0999_14	cbpM_b0999_14	royalblue
cbrA_b3690_15	cbrA_b3690_15	yellow
cbrB_b3716_15	cbrB_b3716_15	yellow
cbrC_b3717_15	cbrC_b3717_15	yellow
cca_b3056_15	cca_b3056_15	turquoise
ccmA_b2201_14	ccmA_b2201_14	greenyellow
ccmB_b2200_14	ccmB_b2200_14	greenyellow
ccmC_b2199_15	ccmC_b2199_15	yellow
ccmD_b2198_14	ccmD_b2198_14	turquoise
ccmE_b2197_14	ccmE_b2197_14	darkolivegreen4
ccmF_b2196_14	ccmF_b2196_14	black
ccmG_b2195_14	ccmG_b2195_14	black
ccmH_b2194_14	ccmH_b2194_14	black
cdaR_b0162_15	cdaR_b0162_15	blue
cdd_b2143_15	cdd_b2143_15	antiquewhite4
cdh_b3918_15	cdh_b3918_15	paleturquoise
cdsA_b0175_30	cdsA_b0175_30	turquoise
cedA_b1731_14	cedA_b1731_14	magenta
cfa_b1661_15	cfa_b1661_15	brown
chaA_b1216_14	chaA_b1216_14	pink
chaB_b1217_15	chaB_b1217_15	brown
chaC_b1218_15	chaC_b1218_15	turquoise
chbA_b1736_15	chbA_b1736_15	magenta
chbB_b1738_15	chbB_b1738_15	darkturquoise
chbC_b1737_15	chbC_b1737_15	blue
chbF_b1734_15	chbF_b1734_15	magenta
chbG_b1733_15	chbG_b1733_15	turquoise
chbR_b1735_15	chbR_b1735_15	blue
cheA_b1888_15	cheA_b1888_15	purple
cheB_b1883_14	cheB_b1883_14	purple
cheR_b1884_14	cheR_b1884_14	purple
cheW_b1887_14	cheW_b1887_14	purple
cheY_b1882_14	cheY_b1882_14	purple
cheZ_b1881_15	cheZ_b1881_15	purple
chiA_b3338_14	chiA_b3338_14	turquoise
cho_b1741_15	cho_b1741_15	lightcyan
chpA_b2782_15	chpA_b2782_15	turquoise
chpB_b4225_15	chpB_b4225_15	salmon
chpR_b2783_15	chpR_b2783_15	turquoise
chpS_b4224_14	chpS_b4224_14	salmon
cirA_b2155_14	cirA_b2155_14	darkred
citC_b0618_15	citC_b0618_15	turquoise
citD_b0617_13	citD_b0617_13	red
citE_b0616_14	citE_b0616_14	red
citF_b0615_14	citF_b0615_14	red
citG_b0613_14	citG_b0613_14	red
citT_b0612_14	citT_b0612_14	blue
citX_b0614_13	citX_b0614_13	red
clcA_b0155_15	clcA_b0155_15	turquoise
clcB_b1592_15	clcB_b1592_15	blue
cld_b2027_14	cld_b2027_14	pink
clpA_b0882_15	clpA_b0882_15	turquoise
clpB_b2592_14	clpB_b2592_14	darkgrey
clpP_b0437_15	clpP_b0437_15	turquoise
clpS_b0881_15	clpS_b0881_15	salmon
clpX_b0438_15	clpX_b0438_15	turquoise
cls_b1249_13	cls_b1249_13	cyan
cmk_b0910_15	cmk_b0910_15	turquoise
cmoA_b1870_15	cmoA_b1870_15	pink
cmoB_b1871_15	cmoB_b1871_15	pink
cmr_b0842_15	cmr_b0842_15	pink
cmtA_b2933_14	cmtA_b2933_14	black
cmtB_b2934_14	cmtB_b2934_14	yellow
cnu_b1625_15	cnu_b1625_15	turquoise
coaA_b3974_15	coaA_b3974_15	turquoise
coaD_b3634_15	coaD_b3634_15	turquoise
coaE_b0103_15	coaE_b0103_15	turquoise
cobB_b1120_15	cobB_b1120_15	turquoise
cobC_b0638_14	cobC_b0638_14	turquoise
cobS_b1992_14	cobS_b1992_14	cyan
cobT_b1991_14	cobT_b1991_14	cyan
cobU_b1993_15	cobU_b1993_15	cyan
codA_b0337_15	codA_b0337_15	orange
codB_b0336_14	codB_b0336_14	orange
cof_b0446_15	cof_b0446_15	grey
copA_b0484_15	copA_b0484_15	white
corA_b3816_15	corA_b3816_15	turquoise
cpdA_b3032_14	cpdA_b3032_14	turquoise
cpdB_b4213_14	cpdB_b4213_14	saddlebrown
cpsB_b2049_14	cpsB_b2049_14	black
cpsG_b2048_15	cpsG_b2048_15	black
cpxA_b3911_14	cpxA_b3911_14	turquoise
cpxP_b4484_25	cpxP_b4484_25	turquoise
cpxR_b3912_14	cpxR_b3912_14	darkgreen
crcB_b0624_14	crcB_b0624_14	lightyellow
creA_b4397_15	creA_b4397_15	turquoise
creB_b4398_15	creB_b4398_15	turquoise
creC_b4399_15	creC_b4399_15	black
creD_b4400_15	creD_b4400_15	turquoise
crl_b0240_15	crl_b0240_15	purple
crp_b3357_15	crp_b3357_15	turquoise
crr_b2417_15	crr_b2417_15	salmon
csdA_b2810_15	csdA_b2810_15	turquoise
csdE_b2811_15	csdE_b2811_15	turquoise
csgA_b1042_15	csgA_b1042_15	turquoise
csgB_b1041_15	csgB_b1041_15	turquoise
csgC_b1043_15	csgC_b1043_15	turquoise
csgD_b1040_14	csgD_b1040_14	salmon4
